ano_ref,regiao,uf,municipio,codibge_munic,empresa,resid_permanentes,resid_uso_ocasional,pop_estimada
2014,CENTRO-OESTE,DF,AGUAS CLARAS,530020,CAESB,0,47158,99000
2014,CENTRO-OESTE,DF,BRAZLANDIA,530004,,3,0,9
2014,CENTRO-OESTE,DF,BRAZLANDIA,530004,CAESB,996,4335,36320
2014,CENTRO-OESTE,DF,CANDANGOLANDIA,530019,CAESB,72,0,16738
2014,CENTRO-OESTE,DF,CEILANDIA,530009,CAESB,0,34732,330000
2014,CENTRO-OESTE,DF,CRUZEIRO,530011,CAESB,0,5546,33000
2014,CENTRO-OESTE,DF,FERCAL,530031,CAESB,1796,0,6257
2014,CENTRO-OESTE,DF,GAMA,530002,CAESB,829,15427,101736
2014,CENTRO-OESTE,DF,GUARA,530000,CAESB,0,18992,99000
2014,CENTRO-OESTE,DF,ITAPOA,530028,CAESB,1,29,39600
2014,CENTRO-OESTE,DF,JARDIM BOTANICO,530027,CAESB,4386,0,14474
2014,CENTRO-OESTE,DF,LAGO NORTE,530018,CAESB,0,1165,33000
2014,CENTRO-OESTE,DF,LAGO SUL,530016,CAESB,0,1861,26400
2014,CENTRO-OESTE,DF,NUCLEO BANDEIRANTE,530008,CAESB,0,2475,19800
2014,CENTRO-OESTE,DF,PARANOA,530007,,3,0,3310
2014,CENTRO-OESTE,DF,PARANOA,530007,CAESB,0,3196,33000
2014,CENTRO-OESTE,DF,PARK WAY,530024,,1,0,3
2014,CENTRO-OESTE,DF,PARK WAY,530024,CAESB,0,2537,13200
2014,CENTRO-OESTE,DF,PLANALTINA,530006,,2,0,6
2014,CENTRO-OESTE,DF,PLANALTINA,530006,CAESB,9,0,135000
2014,CENTRO-OESTE,DF,PLANO PILOTO,530001,CAESB,0,289,264000
2014,CENTRO-OESTE,DF,RECANTO DAS EMAS,530015,CAESB,333,1397,113223
2014,CENTRO-OESTE,DF,RIACHO FUNDO,530017,CAESB,0,4332,33000
2014,CENTRO-OESTE,DF,RIACHO FUNDO II,530021,CAESB,0,1746,33000
2014,CENTRO-OESTE,DF,SÃO SEBASTIAO,530025,CAESB,5,118,16517
2014,CENTRO-OESTE,DF,SAMAMBAIA,530013,CAESB,0,466,99000
2014,CENTRO-OESTE,DF,SANTA MARIA,530014,CAESB,55,13338,66446
2014,CENTRO-OESTE,DF,SCIA,530029,CAESB,0,46,3300
2014,CENTRO-OESTE,DF,SIA,530012,CAESB,16,0,6290
2014,CENTRO-OESTE,DF,SOBRADINHO,530005,CAESB,1,69,49500
2014,CENTRO-OESTE,DF,SOBRADINHO II,530026,,0,0,99
2014,CENTRO-OESTE,DF,SOBRADINHO II,530026,CAESB,496,3789,67637
2014,CENTRO-OESTE,DF,SUDOESTE/OCTOGONAL,530022,CAESB,0,9535,66000
2014,CENTRO-OESTE,DF,TAGUATINGA,530003,CAESB,0,21437,198000
2014,CENTRO-OESTE,DF,VARJAO,530023,CAESB,0,354,6600
2014,CENTRO-OESTE,DF,VICENTE PIRES,530030,CAESB,18186,0,60014
2014,CENTRO-OESTE,GO,ABADIA DE GOIAS,520005,SANEAGO,209,0,7113
2014,CENTRO-OESTE,GO,ABADIANIA,520010,,42,0,13525
2014,CENTRO-OESTE,GO,ACREUNA,520013,,1,0,3
2014,CENTRO-OESTE,GO,ACREUNA,520013,SANEAGO,484,0,21285
2014,CENTRO-OESTE,GO,ADELANDIA,520015,SANEAGO,8,0,2386
2014,CENTRO-OESTE,GO,AGUA FRIA DE GOIAS,520017,SANEAGO,914,0,2870
2014,CENTRO-OESTE,GO,AGUA LIMPA,520020,SANEAGO,7,0,2020
2014,CENTRO-OESTE,GO,AGUAS LINDAS DE GOIAS,520025,SANEAGO,40620,23,174283
2014,CENTRO-OESTE,GO,ALEXANIA,520030,,17,11,1585
2014,CENTRO-OESTE,GO,ALEXANIA,520030,SANEAGO,7373,0,23594
2014,CENTRO-OESTE,GO,ALOANDIA,520050,SANEAGO,0,0,2048
2014,CENTRO-OESTE,GO,ALTO HORIZONTE,520055,SANEAGO,1655,0,5131
2014,CENTRO-OESTE,GO,ALTO PARAISO DE GOIAS,520060,SANEAGO,1899,0,6134
2014,CENTRO-OESTE,GO,ALVORADA DO NORTE,520080,SANEAGO,20,0,8350
